ini_immune,f_mutant_beta,n_test,seq_prop,seq_mode,prob_not_detected,expected_day_1,sd_expected_day,prob95_day_1,max_diff,gmean_err,prop_days_w_mea,prop_days_abv20_absdiff
10,1.0,27,100,5,0.0,13.8,6.949841746421303,16,37.41302698197473,2.545020619704009,13.33333333333333,17.141666666666662
10,1.2,27,1,0,0.0,41.591,9.954436689728345,39,37.66600188836414,2.445498177928959,13.209999999999997,14.40272727272727
10,1.2,27,1,1,0.0,46.07,10.290626657157327,43,44.77905918707894,2.5355775647423924,12.053333333333333,17.354343434343434
10,1.2,27,1,2,0.0,41.65,10.191435883395693,39,38.03593549997231,2.3790113173088114,13.15333333333333,14.266363636363637
10,1.2,27,1,3,0.0,41.939,9.610288062104935,39,38.817334460526396,2.424501913110013,13.23222222222222,14.353939393939394
10,1.2,27,1,4,0.0,41.606,10.191006850190055,39,38.7913768193896,2.467028660606537,13.238888888888885,14.744545454545454
10,1.2,27,1,5,0.0,43.523,9.965881285154353,39,45.27062992985128,2.685609612576782,13.238888888888885,17.79772727272727
10,1.2,27,2,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.2,27,2,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.2,27,2,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.2,27,2,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.2,27,2,4,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.2,27,2,5,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.2,27,3,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.2,27,3,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.2,27,3,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.2,27,3,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.2,27,3,4,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.2,27,3,5,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.2,27,4,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.2,27,4,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.2,27,4,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.2,27,4,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.2,27,4,4,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.2,27,4,5,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.2,27,5,0,0.0,27.857,10.263132215989566,37,30.283363460065978,2.5735141211129067,13.33333333333333,13.008333333333336
10,1.2,27,5,1,0.0,44.663,10.617068953018679,48,47.02926337952505,2.5436386804818447,12.67333333333333,17.8660101010101
10,1.2,27,5,2,0.0,36.565,10.682035427804987,42,34.488750252613734,2.512315999569789,13.306666666666667,13.803939393939393
10,1.2,27,5,3,0.0,29.696,10.502089214907569,38,30.00471880988831,2.4781006374851824,13.33333333333333,12.491666666666665
10,1.2,27,5,4,0.0,28.958,10.295155473630606,37,30.45772592640806,2.5755244812684723,13.33333333333333,13.108333333333333
10,1.2,27,5,5,0.0,29.448,10.670761976595728,39,37.602436944733434,2.9766534259248814,13.33333333333333,17.958333333333332
10,1.2,27,10,0,0.0,22.665,9.21486238034452,33,29.697251258346785,2.5860507027680857,13.33333333333333,13.383333333333333
10,1.2,27,10,1,0.0,44.626,10.324374882612346,48,45.21239194915487,2.4899606025080874,12.696666666666667,17.08050505050505
10,1.2,27,10,2,0.0,36.768,10.528581434696083,41,34.75207035310074,2.5049159866774593,13.313333333333333,14.056818181818182
10,1.2,27,10,3,0.0,29.058,10.361563491963846,38,31.120483472046057,2.548512918844723,13.329999999999998,12.877272727272725
10,1.2,27,10,4,0.0,23.956,9.582896007778436,31,28.941633681830158,2.5122677835307567,13.33333333333333,12.625
